,s2token_15,x,y,z,day,month,hour_y,street_y,road_type,jam_level,speed_decrease_%,Freq
28,2e698c7d4,0.9873784149946362,0.14599525613906467,0.06139422438282668,27,11,20,,,,,
29,2e698f0fc,0.9672930396830108,0.2501677144757169,0.04195581026267274,28,11,14,Sumberjaya Raya,2.0,3.0,19.573796369376485,35.0
30,2e6999df4,0.9525812914181815,0.28272730170229393,-0.1124906934471013,29,11,7,,,,,
31,2e68e8b3c,0.5700064566915828,0.5466377812948892,-0.6134164779258116,29,11,3,,,,,
32,2e69ebacc,0.9897755099245973,0.04309563287351401,-0.13596766667386317,29,11,20,,,,,
33,2e69ec5e4,0.9961259356622587,0.046317004955459457,-0.07475195885691312,24,11,1,,,,,
34,2e68e8ed4,0.5507335432762811,0.5603632460889043,-0.6186158717193236,25,11,3,,,,,
35,2e69923f4,0.9849159342844879,0.169485535042114,-0.03486051927327874,27,11,15,Narogong Raya,7.0,3.0,30.421865715983348,52.0
36,2e698f994,0.9639878486596287,0.2645579009596599,0.027139356595162888,27,11,12,,,,,
37,2e698dad4,0.9875085218034612,0.15496211813430188,0.0285247490589053,24,11,12,,,,,
38,2e69e920c,0.9923798666303334,-0.04173411547085729,-0.11593301476553904,29,11,17,Muhtar Raya,7.0,3.0,13.024602026049209,66.0
39,2e68e8b0c,0.5668605521486169,0.5500975898486093,-0.6132387431176511,25,11,16,N11 Soekarno-Hatta,6.0,2.0,38.857142857142854,108.0
40,2e6984b94,0.9350149903488262,0.35447050975833194,0.00988056347850492,25,11,17,Jalan Raya Lemah Abang,2.0,4.0,81.15808823529413,70.0
41,2e698c22c,0.9822228406837807,0.18098858361859863,0.04981389202639873,23,11,21,,,,,
42,2e699ac9c,0.9516048951973239,0.307080622867334,-0.012231700450071667,26,11,10,,,,,
43,2e6992af4,0.9939471800519789,0.1081976783300276,-0.019033277981235466,28,11,17,Hankam Raya,2.0,3.0,57.60495526496903,63.0
44,2e698c6dc,0.9847554758612904,0.16347795590294473,0.059427356453054345,25,11,11,,2.0,3.0,82.03275529865125,333.0
45,2e698c344,0.9844332935706253,0.1723960749616666,0.0342152575250091,24,11,17,KH Noer Ali,1.0,3.0,14.63714637146372,276.0
46,2e698dce4,0.9836862875604869,0.1782573547105499,0.024199238770347974,26,11,17,N1 Jenderal Ahmad Yani,6.0,4.0,51.7747858017136,35.0
47,2e68e89e4,0.5628135630857014,0.565915471114785,-0.60247869071006,29,11,5,,,,,
48,2e698b96c,0.9832074555627828,0.16024015673703196,0.08732806819488113,25,11,17,Pejuang,1.0,3.0,56.975505857295,38.0
49,2e698ec0c,0.9748714187924469,0.21559398334564958,0.05607986418276512,25,11,19,,,,,
50,2e68ef584,0.5850715462035163,0.5414775032365257,-0.603732887386272,28,11,3,Gempol Sari,2.0,4.0,60.200668896321076,33.0
51,2e68e8294,0.5139607852873291,0.5854087876078362,-0.6270094597199912,27,11,20,,,,,
52,2e6984d8c,0.9441158169019334,0.32949131809546267,0.008988635898159944,26,11,0,,,,,
53,2e69ee45c,0.9985715892536098,-0.030198707415532523,-0.044077422859681435,23,11,19,Cinere Raya,7.0,2.0,30.204081632653057,52.0
54,2e69e8dfc,0.9919407427655298,-0.04464660864255928,-0.11857589627950103,23,11,9,Muhtar Raya,1.0,2.0,9.929078014184384,36.0
55,2e698dee4,0.9844959186182154,0.1754039604734227,0.001112148512628933,28,11,12,Narogong Raya,7.0,3.0,33.316168898043266,35.0
56,2e699ab44,0.9534271386910668,0.30146169509917564,-0.009876112357451103,28,11,7,,,,,
57,2e698dc64,0.9848341537736024,0.17246627446228582,0.01889639473899632,28,11,8,,,,,
58,2e698d804,0.9891941647804311,0.14626373563085404,-0.01009078805907335,28,11,10,Jalan Jatiasih,2.0,3.0,13.211845102505688,150.0
59,2e68e5fcc,0.5848835419483566,0.551022103296527,-0.5952191899095799,25,11,17,,,,,
60,2e69c48d4,0.9587189128837924,-0.05165419427338046,-0.2796245523785191,24,11,12,N9 Raden KH Abdullah bin Nuh,6.0,4.0,23.28042328042328,38.0
61,2e6991914,0.9776434936269757,0.20714161136225556,-0.03613242603382436,23,11,15,,,,,
62,2e69c48cc,0.9588952505306156,-0.048828083381645876,-0.27952766729449685,26,11,4,Brigjen Haji Saptadji Hadiprawira,7.0,4.0,71.25448028673836,152.0
63,2e699a92c,0.9519848255023083,0.3041014968917924,-0.035315316811699554,28,11,11,,,,,
64,2e699353c,0.9908727252990365,0.1019490646397327,-0.08819087525103536,28,11,16,Kranggan Raya,2.0,4.0,72.46636771300449,43.0
65,2e699018c,0.9650282907957717,0.261781401135378,-0.013816511259712899,25,11,19,Jalan Jawa,1.0,3.0,65.494568324757,15.0
66,2e68e727c,0.5797751945308668,0.6076411581270115,-0.5428010194875834,29,11,15,Dago Giri,2.0,1.0,46.46774901272488,108.0
67,2e68e67dc,0.5914591587910109,0.5705802158837743,-0.5697493139304822,29,11,15,Prof Dr Surya Sumantri,1.0,2.0,20.41095890410959,70.0
68,2e69e96dc,0.9916848601894521,-0.015357881188925789,-0.12777039389629197,24,11,4,,,,,
69,2e68e64f4,0.5696007955249547,0.5830014627422602,-0.579365366739956,25,11,11,Ir Haji Juanda,7.0,3.0,57.891529555149305,36.0
70,2e68e647c,0.5691797557823121,0.5791319948679119,-0.5836441879500732,29,11,12,,,,,
71,2e68e6984,0.5981032360291111,0.5804163781959699,-0.5526204366229848,28,11,23,,,,,
72,2e6992af4,0.9939471800519789,0.1081976783300276,-0.019033277981235466,27,11,14,Hankam Raya,2.0,3.0,57.60495526496903,63.0
73,2e69e8e0c,0.9914860314188964,-0.04755649829287516,-0.12121810496508839,24,11,9,Muhtar Raya,7.0,2.0,13.827655310621251,136.0
74,2e68e8684,0.5371258699047687,0.5764531443168246,-0.6157902015185787,27,11,17,N11 Soekarno-Hatta,1.0,3.0,13.216957605985034,70.0
75,2e68c287c,0.5033717143031368,0.5907572965043749,-0.6305733374210833,29,11,11,,,,,
76,2e69c5fcc,0.9442255017595286,-0.0006960593997104069,-0.32929882679456757,29,11,11,,,,,
77,2e69c485c,0.9617139809987685,-0.048971616480024655,-0.2696442091550155,28,11,17,,,,,
78,2e6997034,0.963123521166208,0.2400071536403109,-0.12161270154832152,23,11,16,,,,,
79,2e68e8644,0.5426022564645628,0.5754631167733388,-0.6119027639364603,27,11,14,Buah Batu,2.0,3.0,46.89770821688094,68.0
80,2e698953c,0.9772550600874297,0.19803178093091175,0.07586805174014534,23,11,17,,,,,
81,2e69e8ea4,0.9906173765523529,-0.062166647818439565,-0.12170670142417005,24,11,17,Muchtar Raya,7.0,3.0,50.357142857142854,150.0
82,2e68e6584,0.5764567589276944,0.5865362380888482,-0.5689225311895811,25,11,12,Tamansari,2.0,4.0,71.46847565841978,35.0
83,2e69e93b4,0.993141396649725,-0.03003448804516442,-0.11299599899332077,27,11,17,Sawangan Raya,1.0,4.0,49.24284913067862,47.0
84,2e69ef474,0.9939344846475656,-0.06826215444066176,-0.08622365394424793,26,11,9,N6 Cinangka Raya,6.0,3.0,47.48223663886314,70.0
85,2e69eec0c,0.9963954286792751,-0.021310609645175456,-0.08210972916527311,26,11,14,Tanjakan Kembar,2.0,4.0,59.96343692870201,62.0
86,2e699a614,0.952245796585956,0.30108816955218143,-0.050733194656898906,27,11,19,,,,,
87,2e69910e4,0.9734389361346025,0.22131458241322047,-0.058621610591956336,25,11,16,,,,,
88,2e68e7204,0.5768669700460775,0.6045931545030195,-0.5492646141869562,28,11,9,Ir Haji Juanda,2.0,3.0,14.136125654450277,71.0
89,2e69ec3dc,0.9969379447528083,0.01985363764940491,-0.07563443252998472,25,11,19,Margonda Raya,7.0,4.0,71.80232558139534,32.0
90,2e698ce24,0.9912272562574332,0.12867170821561336,0.030201290655146595,26,11,16,,,,,
91,2e68e65d4,0.5783808867696236,0.578136789742894,-0.5755288022031259,27,11,16,,,,,
92,2e68e648c,0.5685568893562526,0.5819329971991984,-0.5814611339860126,29,11,0,Ir Haji Juanda,7.0,4.0,66.5018541409147,32.0
93,2e68e899c,0.5595148459954828,0.562598573373461,-0.60862630763778,29,11,11,,,,,
94,2e69ef134,0.9951589699063602,-0.06539840245460446,-0.0733598907530385,28,11,17,N6 RE Martadinata,6.0,3.0,24.952471482889734,72.0
95,2e68e814c,0.5315160315171533,0.5841473506558105,-0.6134024624682021,29,11,19,N11 Soekarno-Hatta,1.0,3.0,11.654135338345865,126.0
96,2e69eb4ac,0.988862494464273,0.09584760925479419,-0.11386045337181887,28,11,10,,,,,
97,2e698eb84,0.975217148710637,0.21265223351923387,0.06107815026649438,28,11,15,Perjuangan,2.0,4.0,74.71947194719472,350.0
98,2e698c15c,0.9836737058480345,0.1722630543265266,0.05207187856502675,23,11,21,N1 Jenderal Sudirman,6.0,3.0,28.075855689176688,69.0
99,2e68e6e04,0.5776309212180649,0.6018177232469246,-0.5515051648340727,28,11,10,Ir Haji Juanda,2.0,3.0,11.908783783783786,35.0
100,2e6992a8c,0.9939923086257609,0.10820259087166718,-0.016476945150380982,26,11,17,Hankam Raya,2.0,4.0,40.32258064516129,32.0
101,2e698b8a4,0.9839271003649643,0.16334043838090093,0.07216205621327988,29,11,21,,,,,
102,2e69ec99c,0.9937878687850707,0.06974668047248883,-0.08672411670749672,23,11,7,,,,,
103,2e6999dfc,0.9528540938896889,0.2828082698121675,-0.10994797989735076,24,11,13,,,,,
104,2e6993b4c,0.9851155893039228,0.16353773785992567,-0.05294038161973378,23,11,10,Narogong Raya,7.0,3.0,34.5578812473302,70.0
105,2e699298c,0.9922515701497797,0.12285344027969981,-0.018543293848159094,26,11,7,,,,,
106,2e68e602c,0.5735927562156875,0.5566307120029512,-0.6009605648226667,25,11,15,,,,,
107,2e69ebacc,0.9897755099245973,0.04309563287351401,-0.13596766667386317,28,11,19,,,,,
108,2e68dd60c,0.5312322444401892,0.6160294156251583,-0.5816356776811108,29,11,15,Jenderal AH Nasution,6.0,3.0,29.20656634746922,72.0
109,2e698bec4,0.9814308035614987,0.17187027245573186,0.08517151675662209,28,11,17,,,,,
110,2e68e6b5c,0.5983227795800036,0.5945411173019254,-0.53715054805244,28,11,17,Dr Setiabudi,7.0,3.0,35.66698202459792,46.0
111,2e68e81a4,0.5257939661487033,0.5917841368081462,-0.6110091984445516,24,11,14,N11 Soekarno-Hatta,6.0,3.0,14.737793851717909,32.0
112,2e698ec8c,0.9737770440614993,0.21836968845009658,0.06381964920819035,29,11,20,,,,,
113,2e698fb0c,0.9687077697976559,0.24748402971108635,0.018892108712740035,27,11,23,N1 Sultan Hasanudin,6.0,4.0,47.6878612716763,37.0
114,2e698d794,0.9900775007129873,0.14042706170079974,-0.0051752221212558605,28,11,18,Jati Mekar,2.0,4.0,80.25387870239776,38.0
115,2e69e93a4,0.9935226961001622,-0.027113319235756727,-0.11035180222309246,26,11,19,Sawangan Raya,7.0,3.0,18.581341557440247,105.0
116,2e699037c,0.9685252674757344,0.24743740428753866,-0.027083892270171224,29,11,11,,,,,
117,2e68e7ef4,0.5395382852921579,0.600061596860418,-0.590613679724169,24,11,10,Jalan Purwakarta,2.0,4.0,80.17789072426939,212.0
118,2e698fccc,0.971018914528122,0.23893156115406405,0.005828954718423953,27,11,14,,,,,
119,2e699a1bc,0.9511895997082083,0.2976667663229455,-0.08144225950806863,25,11,21,Cibarusah Raya,7.0,3.0,25.160829163688348,72.0
120,2e698daac,0.9888502069621681,0.14621287751099268,0.028232297831256966,29,11,12,,,,,
121,2e698d664,0.9920504451547949,0.12580242020365762,-0.0031089128446512783,24,11,8,,,,,
122,2e68dd3a4,0.5111980151579283,0.6257558326210803,-0.5891572177605,23,11,11,Jenderal AH Nasution,6.0,4.0,77.38498789346247,147.0
123,2e699237c,0.984623430151059,0.16943520057413503,-0.04252544654633482,25,11,17,Narogong Raya,7.0,3.0,37.83783783783783,80.0
124,2e69eef94,0.9974144129066986,-0.036053598303738,-0.06216612401733301,24,11,18,,,,,
125,2e68e8f54,0.5442552016581073,0.5670444816847425,-0.6182611351677983,25,11,16,,,,,
126,2e699b254,0.9410725829657856,0.3378142169727048,-0.01624648888907384,27,11,13,,,,,
127,2e69c418c,0.9605818707741886,-0.003541585903976936,-0.2779746871735715,28,11,14,N9 KS Tubun,6.0,4.0,61.143224149004496,140.0
128,2e68e8aa4,0.5756602219475621,0.5520597579395552,-0.6031959321240513,25,11,14,,,,,
129,2e698c33c,0.9839167997559569,0.17530078102889277,0.03431278666410532,25,11,12,KH Noer Ali,1.0,4.0,54.62046204620462,11.0
130,2e6991bd4,0.9756882153022265,0.21577461887330138,-0.03839036819877564,24,11,16,,,,,
131,2e698dce4,0.9836862875604869,0.1782573547105499,0.024199238770347974,27,11,19,N1 Jenderal Ahmad Yani,6.0,4.0,51.7747858017136,35.0
132,2e698c344,0.9844332935706253,0.1723960749616666,0.0342152575250091,23,11,18,KH Noer Ali,1.0,3.0,14.63714637146372,276.0
133,2e69ec5e4,0.9961259356622587,0.046317004955459457,-0.07475195885691312,27,11,7,,,,,
134,2e698fb0c,0.9687077697976559,0.24748402971108635,0.018892108712740035,28,11,15,N1 Sultan Hasanudin,6.0,4.0,47.6878612716763,37.0
135,2e68ef52c,0.5754178415338055,0.5453271492762325,-0.6095183409109475,24,11,0,,,,,
136,2e69920c4,0.9848697886577317,0.17247251491981172,-0.01687397364317436,26,11,8,,,,,
137,2e68e643c,0.5746167076652606,0.5777836679093957,-0.5796392605484049,27,11,14,Pasteur,2.0,3.0,43.83792909397861,42.0
138,2e698d7bc,0.9904871584593609,0.1375041180420224,-0.00527318201719701,25,11,19,Jati Mekar,2.0,3.0,9.656652360515025,37.0
139,2e69ebc24,0.9927016937523725,0.019769274331911325,-0.11896437707801698,25,11,0,,,,,
140,2e68e8b9c,0.564147745118862,0.5507157455877422,-0.6151824845028024,24,11,11,KH Wahid Hasyim,6.0,3.0,36.67752442996742,57.0
141,2e698d2b4,0.9947568597934829,0.09938292150228989,0.024121044908516173,25,11,10,Anugerah Raya,2.0,3.0,49.35400516795866,35.0
142,2e698d00c,0.9893480819860476,0.14330375595998923,0.025581364277314538,24,11,13,Arah Tol Jagorawi/Tol Serpong,4.0,2.0,44.95454545454546,63.0
143,2e698d034,0.9905855579288438,0.13453891499393777,0.025288985251589322,28,11,21,Caman Raya,4.0,4.0,58.116232464929865,88.0
144,2e68e635c,0.5631074595237566,0.5832214127699248,-0.585459454373532,24,11,15,Jalan Banda,2.0,4.0,59.158050221565716,117.0
145,2e698d0c4,0.9904221163991744,0.13749508859520404,0.012614751665295711,25,11,16,Ratna,2.0,3.0,47.982456140350884,33.0
146,2e698ec74,0.9747284923992879,0.21556237500240313,0.0586278823456429,24,11,18,Karangsatria Raya,2.0,4.0,77.17872968980798,132.0
147,2e69e8b5c,0.9922319401386757,-0.06814522585230601,-0.10407691944988406,29,11,3,N6 Cinangka Raya,6.0,3.0,64.45685043033264,34.0
148,2e6984d6c,0.9431755181229824,0.3322918907275101,0.0014287652642104712,23,11,3,,,,,
149,2e698e874,0.979560711273033,0.19849900001131193,0.03254166444389072,29,11,17,N1 Cut Mutia,6.0,4.0,28.060046189376443,72.0
150,2e698ff9c,0.9603279731956947,0.27886514057763334,0.0021017298745837154,23,11,9,,,,,
151,2e699ad64,0.9450602873421841,0.32669244442967554,-0.011536899118568826,26,11,0,Industri Raya,2.0,4.0,77.17460317460318,35.0
152,2e6991a7c,0.973319263328097,0.22431181325487895,-0.04830964778135899,27,11,9,,,,,
153,2e698df24,0.9850088602850078,0.17249686944219278,-0.001541166010963476,26,11,0,Narogong Raya,7.0,4.0,69.36,7.0
154,2e69eb7f4,0.9936174916588646,0.052077860597473644,-0.10006086500293905,26,11,0,N8 Jalan Raya Bogor,6.0,4.0,55.03731343283582,39.0
155,2e69923f4,0.9849159342844879,0.169485535042114,-0.03486051927327874,24,11,21,Narogong Raya,7.0,3.0,30.421865715983348,52.0
156,2e69e8e84,0.9909906989402611,-0.05632436071989495,-0.12151132047421756,28,11,13,Muchtar Raya,7.0,3.0,23.801916932907353,38.0
157,2e698a5ac,0.9804518810214822,0.15385477376375276,0.1226491646589639,25,11,19,,,,,
158,2e69ec754,0.9949937515516213,0.028626106006805527,-0.09574957142524268,28,11,17,,,,,
159,2e698c1fc,0.9804383121582522,0.1896526947511373,0.05265521271355391,23,11,22,,,,,
160,2e698c33c,0.9839167997559569,0.17530078102889277,0.03431278666410532,27,11,13,KH Noer Ali,1.0,4.0,54.62046204620462,11.0
161,2e698cfcc,0.9903644411072781,0.13450888344641293,0.03294896150515318,28,11,21,Exit 10: Jakasampurna/Jatibening/Kranji,7.0,3.0,65.63179136914002,104.0
162,2e69e917c,0.9922437622896746,-0.030007341871873476,-0.12063115530830519,25,11,20,,,,,
163,2e698df4c,0.9854924906712625,0.16958474956824046,-0.006750077364645316,24,11,18,Narogong Raya,7.0,4.0,78.71750433275562,36.0
164,2e699ade4,0.9458023779975172,0.3238244539076908,-0.024404606647669542,27,11,20,,,,,
165,2e6992384,0.9847273739106044,0.16945308734303335,-0.039970617471323654,27,11,18,Narogong Raya,7.0,2.0,33.18284424379232,140.0
166,2e68e8444,0.5322163376639474,0.5745843344142034,-0.6217705465598721,29,11,13,Terusan Buah Batu,2.0,3.0,22.582972582972577,76.0
167,2e69ea7a4,0.9843695609352254,0.039950925010987286,-0.1715240248331353,24,11,9,N8 Jalan Raya Bogor,6.0,4.0,54.84064942874324,78.0
168,2e68e7c44,0.5491648992698825,0.5928821154112486,-0.5889895675098011,24,11,11,Jenderal Ahmad Yani,1.0,4.0,50.047483380816715,120.0
169,2e68e84c4,0.5278351431654101,0.5698543673937796,-0.6298063683401323,28,11,10,,,,,
170,2e699a134,0.9521055081822433,0.29795339215842287,-0.0686940855556077,29,11,3,,,,,
171,2e698ec94,0.9736149620399965,0.2183333415257623,0.0663660882533473,28,11,15,,,,,
172,2e698ddb4,0.9833076733727868,0.1811884795319432,0.016635936135352764,24,11,10,Siliwangi,7.0,4.0,77.02642185400806,42.0
173,2e699326c,0.9918463338765126,0.1138965009660537,-0.05717024613740197,28,11,18,Jatiranggon,1.0,4.0,80.7017543859649,106.0
174,2e68e89ec,0.5617177578837296,0.5648136264582277,-0.6045318253369142,29,11,0,Astana Anyar,2.0,3.0,35.2880658436214,156.0
175,2e698c514,0.9877200920687281,0.15200940701835994,0.03608545277074871,27,11,10,,,,,
176,2e69c5904,0.9443040451668795,-0.02855755348759069,-0.32783278728686,28,11,18,Kapten Yusuf,2.0,4.0,46.996996996997005,82.0
177,2e69851e4,0.9449507873122834,0.3266545919953785,0.019099400153628505,29,11,10,,,,,
178,2e698e874,0.979560711273033,0.19849900001131193,0.03254166444389072,29,11,16,N1 Cut Mutia,6.0,4.0,28.060046189376443,72.0
179,2e69ebea4,0.992952013055763,0.022704843924812725,-0.11632192325979533,28,11,19,Kemakmuran,2.0,4.0,83.38028169014085,14.0
180,2e698b8a4,0.9839271003649643,0.16334043838090093,0.07216205621327988,28,11,14,,,,,
181,2e69c4ecc,0.9576202210086588,-0.057261318281620184,-0.2822847033474863,26,11,19,,,,,
182,2e699113c,0.9737766677318385,0.2183696040580981,-0.06382567982079129,23,11,17,,,,,
183,2e698f284,0.9690133885202952,0.23843807595741576,0.06450067288130376,24,11,20,,,,,
184,2e68e6204,0.56553329255651,0.5652946176652965,-0.6005115238268448,28,11,21,Astana Anyar,2.0,3.0,29.461756373937682,68.0
185,2e6992a8c,0.9939923086257609,0.10820259087166718,-0.016476945150380982,28,11,10,Hankam Raya,2.0,4.0,40.32258064516129,32.0
186,2e68e81dc,0.5206547244019787,0.5965856913476175,-0.6107406739666066,25,11,14,,,,,
187,2e699ae6c,0.9466215742231326,0.3209840622026971,-0.029611265207238405,29,11,0,,,,,
188,2e698c8ec,0.9889462477317649,0.13729020151744156,0.05600642520785457,23,11,0,,,,,
189,2e698d704,0.9909024325217661,0.13458195212846866,-0.0002595837768137008,24,11,18,Ratna,2.0,3.0,40.10378057820608,39.0
190,2e69e87dc,0.9863299773154485,-0.0823665655835015,-0.14271974188207326,26,11,10,N6 Jalan Raya Parung-Bogor,6.0,2.0,8.941176470588234,70.0
191,2e69ebc24,0.9927016937523725,0.019769274331911325,-0.11896437707801698,29,11,20,,,,,
192,2e69ec0ac,0.9950644286163224,0.02569040005692063,-0.09584772426817076,28,11,14,Ir H Juanda,7.0,3.0,39.158810732414786,29.0
193,2e68e67b4,0.5877019153666773,0.5703226410220569,-0.5738802521536746,27,11,21,Dr Djundjunan,6.0,4.0,86.27858627858627,24.0
194,2e69f2ccc,0.9952405651342536,0.09646581737654822,0.013804477140623715,27,11,3,Jatiwaringin Raya,1.0,3.0,8.59375000000001,90.0
195,2e69e8ea4,0.9906173765523529,-0.062166647818439565,-0.12170670142417005,29,11,13,Muchtar Raya,7.0,3.0,50.357142857142854,150.0
196,2e6992b6c,0.9940137045275498,0.10523763128881758,-0.02935636510428139,28,11,11,,,,,
197,2e6992ba4,0.9934518111192591,0.1111113094867883,-0.026604057735525204,23,11,18,,,,,
198,2e69894dc,0.976054266276244,0.20379568359827963,0.07606174222730323,28,11,11,Kaliabang,2.0,4.0,47.009966777408636,420.0
199,2e6993514,0.9905762263799001,0.10487370063452377,-0.08809226212430482,28,11,21,Kranggan Raya,2.0,3.0,46.51629072681704,932.0
200,2e68e67fc,0.5947333360282796,0.5669822526642544,-0.5699327891781987,28,11,12,,,,,
201,2e698d6ec,0.9916774362678988,0.1287301463089824,0.002100435287092535,25,11,6,,,,,
202,2e68e66cc,0.5790919208465308,0.5686603326503251,-0.5841900147043741,29,11,19,,,,,
203,2e69e9204,0.9920797622727726,-0.04172149470905741,-0.11847810839155407,29,11,18,Muhtar Raya,7.0,4.0,42.1613394216134,210.0
204,2e69eeebc,0.9969221624415913,-0.024263791268053978,-0.07454844375358803,26,11,18,Krukut Raya,1.0,3.0,25.27272727272727,138.0
205,2e69c5c1c,0.9481058270037964,-0.014682987741560165,-0.3176157279991474,26,11,12,,,,,
206,2e69c5c24,0.9481773285897321,-0.011886827561206511,-0.3175192228495297,29,11,14,Surya Kencana,2.0,3.0,19.771863117870726,34.0
207,2e6994a6c,0.9886898853406377,0.11353403711309931,-0.09799149474274692,28,11,20,Trans Yogi,7.0,2.0,25.64285714285714,102.0
208,2e69ef3a4,0.9943017033417149,-0.0594547034972147,-0.0884831111784775,26,11,19,,,,,
209,2e698fc5c,0.968126777668512,0.2503833413000066,0.006222922193625631,28,11,21,,,,,
210,2e699a114,0.9517578330972167,0.29784459017160275,-0.07379449331488326,28,11,18,Cibarusah Raya,7.0,3.0,39.944134078212294,32.0
211,2e68e6ca4,0.596603039211432,0.5963512517970471,-0.5370567922331656,25,11,18,Dr Setiabudi,7.0,3.0,17.3228346456693,33.0
212,2e69c48d4,0.9587189128837924,-0.05165419427338046,-0.2796245523785191,25,11,14,N9 Raden KH Abdullah bin Nuh,6.0,4.0,23.28042328042328,38.0
213,2e699a1cc,0.9518545301461816,0.2947909893707539,-0.08409058226700517,26,11,19,Cibarusah Raya,7.0,3.0,32.158054711246194,52.0
214,2e68e5e54,0.5891565381106857,0.5485032860810032,-0.5933285082985422,28,11,12,,,,,
215,2e69c8eac,0.9335945734076393,0.02685964327320596,-0.3573230080292118,29,11,14,N9 Jalan Raya Tajur,6.0,3.0,34.738041002277896,30.0
216,2e68ef54c,0.5776890249005483,0.5474795642023461,-0.6054267233037064,26,11,10,Holis,2.0,3.0,52.44791666666666,44.0
217,2e699661c,0.9689982037141914,0.20830108858558294,-0.13286511089346006,29,11,16,,,,,
218,2e699280c,0.9895561060377226,0.14333388754712004,-0.015300643257356895,25,11,11,Wibawa Mukti 2,2.0,3.0,43.49927501208314,76.0
219,2e6992c64,0.9931293889090058,0.11107524859929692,-0.03682806041361726,27,11,17,,,,,
220,2e6a20b34,0.9680692265089232,0.18726006035903675,0.16666026065245684,29,11,15,,,,,
221,2e699abf4,0.9523368729062849,0.3042139547163902,-0.022546624112998744,25,11,6,Arah Cikarang Barat/Lemahabang,4.0,4.0,91.75179720015134,50.0
222,2e68e838c,0.5272357031162004,0.5794431792910888,-0.621504718672836,25,11,10,Margacinta,1.0,3.0,15.432098765432098,153.0
