s2parent,s2token_15,date,hour,Type,SubType,N_Alerts,Road_Type,Reliability
2e68c2a7,2e68c2a7c,2020-10-19,18,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},47,{6},6.1063829787234045
2e68c2a7,2e68c2a7c,2020-10-22,19,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},36,{6},5.444444444444445
2e68c2a7,2e68c2a7c,2020-11-02,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},34,{6},5.5
2e68c2a7,2e68c2a7c,2020-11-02,18,{'JAM'},{'JAM_HEAVY_TRAFFIC'},32,{6},5.0
2e68c2a7,2e68c2a7c,2020-11-03,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},21,{7},5.0
2e68c2a7,2e68c2a7c,2020-11-05,6,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},43,{6},5.395348837209302
2e68c2a7,2e68c2a7c,2020-11-09,10,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},9,{6},5.0
2e68c2a9,2e68c2a84,2020-09-19,9,{'ACCIDENT'},{'ACCIDENT_MINOR'},118,{1},5.0
2e68c2ad,2e68c2ac4,2020-10-30,18,{'JAM'},"{'JAM_STAND_STILL_TRAFFIC', 'JAM_HEAVY_TRAFFIC'}",64,{2},5.5
2e68c2ad,2e68c2ac4,2020-11-12,11,{'JAM'},{'JAM_HEAVY_TRAFFIC'},5,{2},5.0
2e68c2ad,2e68c2adc,2020-10-24,14,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},6,{2},5.0
2e68c2ad,2e68c2adc,2020-10-30,18,{'JAM'},{'JAM_HEAVY_TRAFFIC'},61,{2},5.0
2e68c2af,2e68c2ae4,2020-10-14,15,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{17},5.0
2e68c2af,2e68c2ae4,2020-10-24,11,{'JAM'},{'JAM_HEAVY_TRAFFIC'},32,{2},5.0
2e68c2b1,2e68c2b14,2020-10-11,17,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CONSTRUCTION'},722,{1},5.0
2e68c2b3,2e68c2b24,2020-10-03,11,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{2},5.0
2e68c2b3,2e68c2b2c,2020-10-12,9,{'JAM'},{'JAM'},30,{1},5.0
2e68c2b3,2e68c2b2c,2020-10-25,16,{'JAM'},{'JAM'},31,{1},5.0
2e68c2b5,2e68c2b4c,2020-10-20,7,{'JAM'},{'JAM_MODERATE_TRAFFIC'},30,{2},5.0
2e68c2b9,2e68c2b84,2020-09-22,18,"{'JAM', 'WEATHERHAZARD'}","{'HAZARD_WEATHER_FLOOD', 'JAM_HEAVY_TRAFFIC'}",62,{6},7.096774193548387
2e68c2b9,2e68c2b84,2020-10-02,7,"{'JAM', 'WEATHERHAZARD'}","{'HAZARD_ON_ROAD_CAR_STOPPED', 'JAM_STAND_STILL_TRAFFIC'}",37,{6},5.0
2e68c2b9,2e68c2b84,2020-10-09,14,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{2},5.0
2e68c2b9,2e68c2b84,2020-10-16,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{6},5.0
2e68c2b9,2e68c2b84,2020-11-03,8,{'JAM'},{'JAM_MODERATE_TRAFFIC'},6,{6},6.666666666666667
2e68c2b9,2e68c2b84,2020-11-18,10,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},32,{2},5.53125
2e68c2b9,2e68c2b8c,2020-10-12,8,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{2},5.0
2e68c2b9,2e68c2b8c,2020-10-17,14,{'JAM'},{'JAM_MODERATE_TRAFFIC'},30,{2},5.0
2e68c2b9,2e68c2b8c,2020-10-31,12,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},14,{2},5.0
2e68c2b9,2e68c2b8c,2020-11-18,10,{'WEATHERHAZARD'},{'HAZARD_ON_SHOULDER_ANIMALS'},30,{2},5.0
2e68c2b9,2e68c2b9c,2020-09-01,13,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},32,{6},5.0
2e68c2b9,2e68c2b9c,2020-09-15,7,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CONSTRUCTION'},319,{6},7.445141065830721
2e68c2b9,2e68c2b9c,2020-09-20,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{6},5.967741935483871
2e68c2b9,2e68c2b9c,2020-09-22,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},7.833333333333333
2e68c2b9,2e68c2b9c,2020-09-22,18,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},32,{6},7.0
2e68c2b9,2e68c2b9c,2020-09-24,7,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{6},5.0
2e68c2b9,2e68c2b9c,2020-09-28,10,{'JAM'},{'JAM_HEAVY_TRAFFIC'},9,{6},5.0
2e68c2b9,2e68c2b9c,2020-11-02,7,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{6},5.0
2e68c2bb,2e68c2ba4,2020-09-01,12,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{6},5.0
2e68c2bb,2e68c2ba4,2020-09-04,9,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CONSTRUCTION'},139,{6},8.568345323741006
2e68c2bb,2e68c2ba4,2020-09-15,19,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.0
2e68c2bb,2e68c2ba4,2020-09-15,20,{'JAM'},"{'JAM_STAND_STILL_TRAFFIC', 'JAM_HEAVY_TRAFFIC'}",62,{6},5.5
2e68c2bb,2e68c2ba4,2020-09-17,12,{'JAM'},{'JAM'},35,{17},5.0
2e68c2bb,2e68c2ba4,2020-09-20,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.0
2e68c2bb,2e68c2ba4,2020-09-20,18,{'JAM'},{'JAM_HEAVY_TRAFFIC'},61,"{6, 7}",5.0
2e68c2bb,2e68c2ba4,2020-09-22,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},26,{6},5.0
2e68c2bb,2e68c2ba4,2020-10-01,0,{'ROAD_CLOSED'},{'ROAD_CLOSED_EVENT'},1,{7},6.0
2e68c2bb,2e68c2ba4,2020-10-05,8,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},32,{6},5.0
2e68c2bb,2e68c2ba4,2020-10-22,15,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CONSTRUCTION'},308,{7},5.422077922077922
2e68c2bb,2e68c2ba4,2020-11-02,14,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CONSTRUCTION'},51,{6},5.313725490196078
2e68c2bb,2e68c2bac,2020-09-02,0,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CONSTRUCTION'},842,{6},6.701900237529691
2e68c2bb,2e68c2bac,2020-09-03,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.933333333333334
2e68c2bb,2e68c2bac,2020-09-05,7,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CONSTRUCTION'},281,{6},7.661921708185053
2e68c2bb,2e68c2bac,2020-09-22,17,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CONSTRUCTION'},124,{6},8.71774193548387
2e68c2bb,2e68c2bac,2020-10-01,14,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{7},6.0
2e68c2bb,2e68c2bac,2020-11-02,14,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},18,{6},5.0
2e68c2bd,2e68c2bcc,2020-09-20,6,"{'JAM', 'ACCIDENT'}","{'JAM', 'ACCIDENT'}",154,{1},6.0
2e68c2bd,2e68c2bdc,2020-11-08,13,{'JAM'},{'JAM_MODERATE_TRAFFIC'},32,{1},5.0
2e68c2bf,2e68c2be4,2020-09-09,7,{'JAM'},{'JAM_MODERATE_TRAFFIC'},8,{2},5.0
2e68c2bf,2e68c2be4,2020-11-21,14,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},10,{2},5.0
2e68c2bf,2e68c2be4,2020-11-22,10,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},17,{2},5.0
2e68c2bf,2e68c2bec,2020-11-04,12,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},33,{2},5.0
2e68c2bf,2e68c2bec,2020-11-18,14,{'JAM'},{'JAM_MODERATE_TRAFFIC'},5,{2},5.0
2e68c2bf,2e68c2bf4,2020-09-03,19,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},18,{2},5.0
2e68c2bf,2e68c2bf4,2020-09-04,13,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},33,{2},5.0
2e68c2bf,2e68c2bf4,2020-09-05,13,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{2},5.0
2e68c2bf,2e68c2bf4,2020-09-06,7,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},13,{2},5.0
2e68c2bf,2e68c2bf4,2020-10-12,8,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{2},5.0
2e68c2bf,2e68c2bf4,2020-10-17,14,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{2},5.0
2e68c2bf,2e68c2bf4,2020-10-21,8,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{2},5.7
2e68c2bf,2e68c2bf4,2020-11-02,18,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{2},5.0
2e68c2c5,2e68c2c5c,2020-09-04,8,{'JAM'},{'JAM_MODERATE_TRAFFIC'},24,{6},5.0
2e68c2c5,2e68c2c5c,2020-09-11,13,{'JAM'},{'JAM_HEAVY_TRAFFIC'},6,{6},5.0
2e68c2c5,2e68c2c5c,2020-09-11,14,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{7},6.387096774193548
2e68c2c7,2e68c2c64,2020-09-11,14,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},5,{6},5.0
2e68c2c7,2e68c2c64,2020-10-22,14,{'WEATHERHAZARD'},{'HAZARD_WEATHER_FLOOD'},35,{7},5.0
2e68c2c7,2e68c2c7c,2020-09-02,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{6},6.0
2e68c2c7,2e68c2c7c,2020-10-18,14,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},6,{4},5.0
2e68c2c7,2e68c2c7c,2020-10-19,21,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{20},5.0
2e68c2c7,2e68c2c7c,2020-10-26,12,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{4},5.903225806451613
2e68c2c7,2e68c2c7c,2020-10-27,16,{'WEATHERHAZARD'},{'HAZARD_WEATHER_FLOOD'},31,{4},5.612903225806452
2e68c2c7,2e68c2c7c,2020-11-12,7,{'JAM'},{'JAM_MODERATE_TRAFFIC'},31,{6},5.0
2e68c2c7,2e68c2c7c,2020-11-12,19,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.0
2e68c2c9,2e68c2c84,2020-09-27,12,{'ACCIDENT'},{'ACCIDENT'},120,{2},5.0
2e68c2c9,2e68c2c84,2020-10-16,15,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{2},5.0
2e68c2c9,2e68c2c84,2020-10-27,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},32,{2},5.71875
2e68c2c9,2e68c2c84,2020-11-03,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},32,{2},5.0
2e68c2c9,2e68c2c9c,2020-09-12,9,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{2},5.0
2e68c2c9,2e68c2c9c,2020-10-03,14,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},33,{2},5.454545454545454
2e68c2c9,2e68c2c9c,2020-10-27,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},34,{2},5.852941176470588
2e68c2c9,2e68c2c9c,2020-11-01,9,{'ACCIDENT'},{'ACCIDENT_MINOR'},123,{2},5.0
2e68c2cb,2e68c2ca4,2020-09-27,12,{'JAM'},{'JAM_MODERATE_TRAFFIC'},24,{2},5.0
2e68c2cb,2e68c2ca4,2020-10-10,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{2},5.0
2e68c2cb,2e68c2ca4,2020-11-06,18,{'JAM'},{'JAM_HEAVY_TRAFFIC'},26,{2},5.0
2e68c2cb,2e68c2ca4,2020-11-07,16,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{2},5.0
2e68c2cb,2e68c2ca4,2020-11-12,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{2},5.0
2e68c2cb,2e68c2ca4,2020-11-17,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{2},5.0
2e68c2cb,2e68c2cac,2020-09-09,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},23,{2},5.0
2e68c2cb,2e68c2cac,2020-09-16,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},29,{2},5.0
2e68c2cb,2e68c2cac,2020-10-01,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{2},6.709677419354839
2e68c2cb,2e68c2cac,2020-10-02,16,{'JAM'},{'JAM_MODERATE_TRAFFIC'},25,{2},5.0
2e68c2cb,2e68c2cac,2020-10-10,19,{'JAM'},{'JAM_HEAVY_TRAFFIC'},32,{2},5.0
2e68c2cb,2e68c2cac,2020-11-03,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{2},5.0
2e68c2cb,2e68c2cac,2020-11-06,18,{'JAM'},{'JAM_MODERATE_TRAFFIC'},3,{2},5.0
2e68c2cb,2e68c2cb4,2020-09-03,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},34,{2},5.0
2e68c2cb,2e68c2cb4,2020-09-25,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},32,{2},5.0
2e68c2cb,2e68c2cb4,2020-11-06,18,{'JAM'},{'JAM_MODERATE_TRAFFIC'},28,{2},6.0
2e68c2cd,2e68c2ccc,2020-09-26,14,{'ACCIDENT'},{'ACCIDENT'},121,{1},6.0
2e68c2d1,2e68c2d1c,2020-10-17,8,{'JAM'},{'JAM'},30,{2},5.0
2e68c2d5,2e68c2d44,2020-11-01,13,{'ACCIDENT'},{'ACCIDENT_MINOR'},59,{6},5.11864406779661
2e68c2d5,2e68c2d54,2020-10-09,23,{'ACCIDENT'},{'ACCIDENT_MINOR'},121,{1},5.0
2e68c2d7,2e68c2d64,2020-10-28,13,{'JAM'},{'JAM_MODERATE_TRAFFIC'},37,{6},5.0
2e68c2d7,2e68c2d6c,2020-09-25,19,{'JAM'},{'JAM_MODERATE_TRAFFIC'},32,{6},5.0
2e68c2d7,2e68c2d7c,2020-10-02,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},3,{6},6.0
2e68c2d7,2e68c2d7c,2020-10-18,7,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_POT_HOLE'},317,{6},5.694006309148265
2e68c2d9,2e68c2d84,2020-10-09,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{7},5.0
2e68c2d9,2e68c2d84,2020-10-10,13,{'JAM'},{'JAM_HEAVY_TRAFFIC'},32,{6},5.0
2e68c2d9,2e68c2d84,2020-10-10,15,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},29,{6},5.482758620689655
2e68c2d9,2e68c2d84,2020-10-10,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},8,{6},6.0
2e68c2d9,2e68c2d84,2020-10-10,18,{'JAM'},{'JAM_MODERATE_TRAFFIC'},30,{6},5.0
2e68c2d9,2e68c2d84,2020-10-10,19,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.533333333333333
2e68c2d9,2e68c2d84,2020-10-19,16,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{6},5.0
2e68c2d9,2e68c2d84,2020-10-19,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{6},5.0
2e68c2d9,2e68c2d84,2020-11-12,17,{'JAM'},{'JAM'},31,{6},5.0
2e68c2d9,2e68c2d84,2020-11-12,19,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},35,{6},8.428571428571429
2e68c2d9,2e68c2d9c,2020-09-03,10,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CAR_STOPPED'},31,{6},5.0
2e68c2d9,2e68c2d9c,2020-09-28,6,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CAR_STOPPED'},33,{6},5.0
2e68c2d9,2e68c2d9c,2020-10-09,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},35,{6},6.457142857142857
2e68c2db,2e68c2da4,2020-10-22,12,{'WEATHERHAZARD'},{'HAZARD_ON_ROAD_CAR_STOPPED'},39,{6},6.256410256410256
2e68c2db,2e68c2dac,2020-09-10,7,{'JAM'},{'JAM_MODERATE_TRAFFIC'},19,{7},5.0
2e68c2db,2e68c2dac,2020-11-03,7,{'ACCIDENT'},{'ACCIDENT_MINOR'},122,{6},6.934426229508197
2e68c2dd,2e68c2dc4,2020-09-22,13,{'WEATHERHAZARD'},{'WEATHERHAZARD'},6,{1},5.0
2e68c2e5,2e68c2e4c,2020-09-19,19,{'WEATHERHAZARD'},{'HAZARD_WEATHER'},32,{1},5.0
2e68c2e5,2e68c2e5c,2020-10-16,10,{'WEATHERHAZARD'},{'WEATHERHAZARD'},31,{2},5.0
2e68c2e7,2e68c2e74,2020-11-03,21,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{1},6.0
2e68c2e7,2e68c2e74,2020-11-15,13,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},26,{1},5.0
2e68c2f5,2e68c2f4c,2020-09-03,13,{'WEATHERHAZARD'},{'HAZARD_WEATHER'},32,{1},5.0
2e68c2fb,2e68c2fb4,2020-10-02,14,{'JAM'},{'JAM_MODERATE_TRAFFIC'},32,{1},5.0
2e68c2fb,2e68c2fb4,2020-11-19,16,{'JAM'},{'JAM'},32,{1},5.0
2e68c327,2e68c3264,2020-09-05,20,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},29,{6},5.0
2e68c327,2e68c3264,2020-09-06,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{6},5.6
2e68c327,2e68c3264,2020-09-12,18,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{6},5.0
2e68c327,2e68c3264,2020-09-15,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{6},5.0
2e68c327,2e68c3264,2020-10-02,17,{'JAM'},"{'JAM_STAND_STILL_TRAFFIC', 'JAM_HEAVY_TRAFFIC'}",65,{6},5.0
2e68c327,2e68c3264,2020-10-04,20,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},32,{6},5.0
2e68c327,2e68c3264,2020-10-09,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},80,{6},7.8
2e68c327,2e68c3264,2020-10-10,15,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},34,{6},5.0
2e68c327,2e68c3264,2020-10-11,17,{'JAM'},"{'JAM_STAND_STILL_TRAFFIC', 'JAM_HEAVY_TRAFFIC'}",60,{6},5.0
2e68c327,2e68c3264,2020-10-11,19,{'JAM'},{'JAM_HEAVY_TRAFFIC'},31,{6},5.0
2e68c327,2e68c3264,2020-10-11,20,{'JAM'},{'JAM_MODERATE_TRAFFIC'},30,{6},5.0
2e68c327,2e68c3264,2020-10-12,10,{'JAM'},{'JAM_HEAVY_TRAFFIC'},1,{6},5.0
2e68c327,2e68c3264,2020-10-12,18,{'JAM'},{'JAM_MODERATE_TRAFFIC'},31,{6},5.0
2e68c327,2e68c3264,2020-10-16,16,{'JAM'},{'JAM_MODERATE_TRAFFIC'},31,{6},5.0
2e68c327,2e68c3264,2020-10-17,10,{'JAM'},{'JAM_MODERATE_TRAFFIC'},31,{6},5.0
2e68c327,2e68c3264,2020-10-17,19,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},34,{6},5.0
2e68c327,2e68c3264,2020-10-18,13,{'JAM'},{'JAM_HEAVY_TRAFFIC'},30,{6},5.0
2e68c327,2e68c3264,2020-10-21,17,{'JAM'},{'JAM_HEAVY_TRAFFIC'},34,{6},5.0
2e68c327,2e68c3264,2020-10-29,17,{'JAM'},{'JAM'},31,{6},6.0
2e68c327,2e68c3264,2020-10-31,17,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},30,{6},5.0
2e68c327,2e68c3264,2020-10-31,18,{'JAM'},{'JAM_STAND_STILL_TRAFFIC'},31,{6},5.0
